"Dataset name: Government Statistics; Frequency: Quarterly; Adjustment indicator: Neither seasonally nor working day adjusted; ESA item - GST context: Deficit or surplus; Valuation - GST context: Non-financial flows current prices; Series variation - GST context: Percentage points, series(t)/GDP(t)",,,,,,,,
,"GST.Q.DE.N.D1300.DEF.D0000.CU.G","GST.Q.ES.N.D1300.DEF.D0000.CU.G","GST.Q.FR.N.D1300.DEF.D0000.CU.G","GST.Q.GB.N.D1300.DEF.D0000.CU.G","GST.Q.GR.N.D1300.DEF.D0000.CU.G","GST.Q.IE.N.D1300.DEF.D0000.CU.G","GST.Q.IT.N.D1300.DEF.D0000.CU.G","GST.Q.PT.N.D1300.DEF.D0000.CU.G"
,"Germany, General government (ESA95)-EUR, All sectors/ unspecified/ not applicable (ESA95) - EUR","Spain, General government (ESA95)-EUR, All sectors/ unspecified/ not applicable (ESA95) - EUR","France, General government (ESA95)-EUR, All sectors/ unspecified/ not applicable (ESA95) - EUR","United Kingdom (GB), General government (ESA95)-EUR, All sectors/ unspecified/ not applicable (ESA95) - EUR","Greece (GR), General government (ESA95)-EUR, All sectors/ unspecified/ not applicable (ESA95) - EUR","Ireland, General government (ESA95)-EUR, All sectors/ unspecified/ not applicable (ESA95) - EUR","Italy, General government (ESA95)-EUR, All sectors/ unspecified/ not applicable (ESA95) - EUR","Portugal, General government (ESA95)-EUR, All sectors/ unspecified/ not applicable (ESA95) - EUR"
"Collection:","Summed through period (S)","Summed through period (S)","Summed through period (S)","Summed through period (S)","Summed through period (S)","Summed through period (S)","Summed through period (S)","Summed through period (S)"
"Period\Unit:","[Percent ]","[Percent ]","[Percent ]","[Percent ]","[Percent ]","[Percent ]","[Percent ]","[Percent ]"
"2011Q2",,-9.845044,,-10.621352,,,-3.18472,-8.887843
"2011Q1",,-5.280668,,-5.877839,-9.198463,-13.037868,-7.744337,-7.6834
"2010Q4",-1.92467,-13.212813,-3.150202,-12.000706,-9.756696,-35.525186,-3.788887,-11.366325
"2010Q3",-8.882454,-7.842022,-7.199666,-9.256418,-8.106815,-36.253278,-3.356503,-7.081193
"2010Q2",-1.133406,-9.753373,-6.218532,-11.029119,-9.384155,-14.907528,-2.492726,-11.013706
"2010Q1",-5.10609,-5.766532,-11.960051,-8.305514,-15.672621,-39.019102,-8.532237,-9.642988
"2009Q4",-4.519112,-15.839633,-2.553256,-13.737014,-14.102978,-7.667923,-4.113051,-13.261353
"2009Q3",-4.958854,-9.68322,-9.687388,-10.53986,-14.068636,-15.921796,-4.224122,-8.074071
"2009Q2",-1.384706,-13.61912,-6.576053,-13.558195,-17.650408,-18.787704,-3.591816,-8.41774
"2009Q1",-1.771053,-4.883466,-11.698601,-7.54526,-16.506186,-14.120379,-9.473057,-10.806808
"2008Q4",-0.776567,-12.972827,-0.973569,-9.181194,-7.344179,-4.191315,-2.39454,-6.192464
"2008Q3",-0.533506,-1.992833,-5.207668,-4.639648,-6.262209,-11.418611,-1.479893,-5.736637
"2008Q2",1.805592,-4.849061,-0.775619,-6.158248,-15.278258,-8.534252,-1.330551,1.326112
"2008Q1",-0.723066,2.380675,-6.52297,-0.157913,-10.940121,-5.188906,-5.639643,-4.278802
"2007Q4",0.650895,-3.876336,1.202921,-4.457701,-3.794615,6.748564,-2.63047,-5.353319
"2007Q3",-0.618756,6.623634,-4.991841,-2.412522,-3.235696,-6.071716,-0.309875,-1.966001
"2007Q2",2.04456,0.442854,-0.633436,-4.258386,-12.072967,-2.090815,2.364917,-0.525996
"2007Q1",-1.153157,5.158435,-6.837391,0.119958,-8.113867,1.291418,-5.470957,-5.021615
"2006Q4",-0.504342,-0.803846,2.319029,-3.938588,-4.642124,10.072129,-6.08566,-6.761834
"2006Q3",-2.138974,4.030317,-4.80722,-2.170066,-2.074309,-2.719879,-1.718753,-2.583187
"2006Q2",-0.369245,1.284103,-1.057344,-4.912715,-10.926728,0.66841,0.278571,-2.377661
"2006Q1",-3.669823,5.346555,-6.268428,0.13715,-6.743523,3.47272,-5.799806,-4.429874
"2005Q4",-2.086804,-1.678527,1.594058,-5.957643,-0.982003,6.252769,-4.257224,-8.052855
"2005Q3",-3.763101,3.877421,-4.183227,-3.163855,-0.840531,-1.461957,-2.762629,-6.744395
"2005Q2",-2.593817,0.040397,-2.130937,-3.602309,-12.095708,1.07946,-2.336143,-2.144038
"2005Q1",-4.961397,3.178419,-7.409425,-0.835453,-8.232738,0.441795,-8.347515,-6.54805
"2004Q4",-2.241306,-2.876932,0.885189,-4.681851,-4.467255,4.720051,-2.49225,0.900741
"2004Q3",-4.359029,2.438347,-5.549104,-3.44128,-1.985797,-2.957586,-3.905961,-5.708288
"2004Q2",-2.532207,-1.462215,-2.497077,-5.453683,-13.592313,3.896809,-0.36756,-3.66203
"2004Q1",-5.971378,1.701872,-7.560196,-0.247581,-10.289809,-0.407196,-7.75225,-5.47981
"2003Q4",-3.215399,-2.510949,-0.104977,-4.605755,-7.973846,3.003025,-2.995377,3.584057
"2003Q3",-5.265549,1.413644,-5.429087,-3.003662,-3.403727,-1.62757,-5.095394,-6.973604
"2003Q2",-2.354262,-1.789858,-3.212226,-5.518056,-5.384322,1.872533,1.302328,-4.896693
"2003Q1",-5.779068,1.677154,-7.837453,-0.43203,-6.150385,-1.883696,-7.616441,-4.442118
"2002Q4",-3.322253,-3.951256,-0.293108,-3.826306,-6.014163,-0.769063,0.894931,-1.224043
"2002Q3",-4.233347,2.463591,-4.659197,-1.763548,-2.229088,-2.856972,-4.387218,-6.871529
"2002Q2",-1.954534,-2.291578,-1.585339,-4.489306,-6.041678,4.855948,-1.480745,-1.755143
"2002Q1",-5.918815,3.289677,-6.766544,1.861984,-5.158643,-2.349475,-7.565248,-1.904768
"2001Q4",-3.976403,-3.89364,1.664175,-1.833685,-6.450194,-3.479367,-2.719025,-8.458803
"2001Q3",-4.049914,-0.756941,-3.305801,0.704803,-0.815952,-2.185097,-1.843219,-3.851196
"2001Q2",-0.050338,-0.706991,0.609265,-2.181554,-4.322194,8.589219,-1.434411,-2.937488
"2001Q1",-4.163812,3.504637,-5.773645,5.292633,-6.370955,1.110405,-6.571613,-1.614183
"2000Q4",-1.332927,-4.051484,2.262896,0.166298,-9.807704,1.423548,2.179167,-7.599302
"2000Q3",7.433771,-2.834638,-2.422684,5.507085,2.054815,1.551575,-1.848891,-1.378276
"2000Q2",1.72267,1.455341,-0.199323,4.053986,-3.557695,13.190148,-1.061261,-1.180668
"2000Q1",-3.429008,1.832411,-5.9422,4.782916,-3.726478,3.061924,-3.06362,-1.183053
"1999Q4",-0.245314,,4.21923,1.476217,,-3.536891,0.67784,-8.907676
"1999Q3",-2.905436,,-4.118752,1.206813,,0.58312,-1.349021,-1.15852
