"TIME","GEO","UNIT","SECTOR","INDIC_NA","Value","Flag and Footnotes"
"2001","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","3.1",""
"2001","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.1",""
"2001","Ireland","Percentage of GDP","General government","Interest, payable","1.5",""
"2001","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","0.9",""
"2001","Greece","Percentage of GDP","General government","Interest, payable","6.5",""
"2001","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.4",""
"2001","Spain","Percentage of GDP","General government","Interest, payable","3.1",""
"2001","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-0.5",""
"2001","France","Percentage of GDP","General government","Interest, payable","3.0",""
"2001","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-1.7",""
"2001","Italy","Percentage of GDP","General government","Interest, payable","6.3",""
"2001","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.2",""
"2001","Portugal","Percentage of GDP","General government","Interest, payable","2.9",""
"2001","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.3",""
"2001","United Kingdom","Percentage of GDP","General government","Interest, payable","2.3",""
"2001","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","0.5",""
"2002","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","3.0",""
"2002","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.8",""
"2002","Ireland","Percentage of GDP","General government","Interest, payable","1.3",""
"2002","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-0.3",""
"2002","Greece","Percentage of GDP","General government","Interest, payable","5.6",""
"2002","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.8",""
"2002","Spain","Percentage of GDP","General government","Interest, payable","2.7",""
"2002","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-0.2",""
"2002","France","Percentage of GDP","General government","Interest, payable","3.0",""
"2002","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.3",""
"2002","Italy","Percentage of GDP","General government","Interest, payable","5.6",""
"2002","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.2",""
"2002","Portugal","Percentage of GDP","General government","Interest, payable","2.8",""
"2002","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-2.9",""
"2002","United Kingdom","Percentage of GDP","General government","Interest, payable","2.0",""
"2002","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-2.1",""
"2003","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","3.0",""
"2003","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.2",""
"2003","Ireland","Percentage of GDP","General government","Interest, payable","1.2",""
"2003","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","0.4",""
"2003","Greece","Percentage of GDP","General government","Interest, payable","5.0",""
"2003","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-5.7",""
"2003","Spain","Percentage of GDP","General government","Interest, payable","2.4",""
"2003","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-0.4",""
"2003","France","Percentage of GDP","General government","Interest, payable","2.8",""
"2003","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.1",""
"2003","Italy","Percentage of GDP","General government","Interest, payable","5.1",""
"2003","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.6",""
"2003","Portugal","Percentage of GDP","General government","Interest, payable","2.7",""
"2003","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.1",""
"2003","United Kingdom","Percentage of GDP","General government","Interest, payable","2.0",""
"2003","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.4",""
"2004","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","2.9",""
"2004","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.8",""
"2004","Ireland","Percentage of GDP","General government","Interest, payable","1.1",""
"2004","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","1.4",""
"2004","Greece","Percentage of GDP","General government","Interest, payable","4.9",""
"2004","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-7.4",""
"2004","Spain","Percentage of GDP","General government","Interest, payable","2.0",""
"2004","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-0.1",""
"2004","France","Percentage of GDP","General government","Interest, payable","2.8",""
"2004","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.6",""
"2004","Italy","Percentage of GDP","General government","Interest, payable","4.8",""
"2004","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.6",""
"2004","Portugal","Percentage of GDP","General government","Interest, payable","2.6",""
"2004","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.4",""
"2004","United Kingdom","Percentage of GDP","General government","Interest, payable","2.0",""
"2004","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.5",""
"2005","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","2.8",""
"2005","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.3",""
"2005","Ireland","Percentage of GDP","General government","Interest, payable","1.0",""
"2005","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","1.7",""
"2005","Greece","Percentage of GDP","General government","Interest, payable","4.7",""
"2005","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-5.6",""
"2005","Spain","Percentage of GDP","General government","Interest, payable","1.8",""
"2005","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","1.3",""
"2005","France","Percentage of GDP","General government","Interest, payable","2.7",""
"2005","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.0",""
"2005","Italy","Percentage of GDP","General government","Interest, payable","4.7",""
"2005","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.5",""
"2005","Portugal","Percentage of GDP","General government","Interest, payable","2.4",""
"2005","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-5.9",""
"2005","United Kingdom","Percentage of GDP","General government","Interest, payable","2.1",""
"2005","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.4",""
"2006","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","2.9",""
"2006","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-1.7",""
"2006","Ireland","Percentage of GDP","General government","Interest, payable","1.0",""
"2006","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","2.9",""
"2006","Greece","Percentage of GDP","General government","Interest, payable","4.7",""
"2006","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-6.0",""
"2006","Spain","Percentage of GDP","General government","Interest, payable","1.6",""
