"TIME","GEO","UNIT","SECTOR","INDIC_NA","Value","Flag and Footnotes"
"2001","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+)/Net borrowing (-) under the EDP (Excessive Deficit Procedure)","-3.1",""
"2001","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Government consolidated gross debt","59.1",""
"2001","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Government consolidated gross debt - Short term securities other than shares, excluding financial derivatives","1.1",""
"2001","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Government consolidated gross debt - Long-term securities other than shares, excluding financial derivatives","36.2",""
"2001","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Government consolidated gross debt - Short-term loans","1.2",""
"2001","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Government consolidated gross debt - Long-term loans","20.3",""
"2001","Ireland","Percentage of GDP","General government","Net lending (+)/Net borrowing (-) under the EDP (Excessive Deficit Procedure)","0.9",""
"2001","Ireland","Percentage of GDP","General government","Government consolidated gross debt","35.2",""
"2001","Ireland","Percentage of GDP","General government","Government consolidated gross debt - Short term securities other than shares, excluding financial derivatives","6.5",""
"2001","Ireland","Percentage of GDP","General government","Government consolidated gross debt - Long-term securities other than shares, excluding financial derivatives","19.6",""
"2001","Ireland","Percentage of GDP","General government","Government consolidated gross debt - Short-term loans","0.2",""
"2001","Ireland","Percentage of GDP","General government","Government consolidated gross debt - Long-term loans","2.2",""
"2001","Greece","Percentage of GDP","General government","Net lending (+)/Net borrowing (-) under the EDP (Excessive Deficit Procedure)","-4.5",""
"2001","Greece","Percentage of GDP","General government","Government consolidated gross debt","103.7",""
"2001","Greece","Percentage of GDP","General government","Government consolidated gross debt - Short term securities other than shares, excluding financial derivatives","0.5",""
"2001","Greece","Percentage of GDP","General government","Government consolidated gross debt - Long-term securities other than shares, excluding financial derivatives","85.5",""
"2001","Greece","Percentage of GDP","General government","Government consolidated gross debt - Short-term loans","1.0",""
"2001","Greece","Percentage of GDP","General government","Government consolidated gross debt - Long-term loans","16.5",""
"2001","Spain","Percentage of GDP","General government","Net lending (+)/Net borrowing (-) under the EDP (Excessive Deficit Procedure)","-0.5",""
"2001","Spain","Percentage of GDP","General government","Government consolidated gross debt","55.6",""
"2001","Spain","Percentage of GDP","General government","Government consolidated gross debt - Short term securities other than shares, excluding financial derivatives","5.4",""
"2001","Spain","Percentage of GDP","General government","Government consolidated gross debt - Long-term securities other than shares, excluding financial derivatives","41.4",""
"2001","Spain","Percentage of GDP","General government","Government consolidated gross debt - Short-term loans","1.0",""
"2001","Spain","Percentage of GDP","General government","Government consolidated gross debt - Long-term loans","7.4",""
