"Dataset name: Interest rate statistics (2004 EU Member States & ACCBs); Frequency: Monthly; Interest rate type: Long-term interest rate for convergence purposes; Transaction type: Debt security issued; Maturity category: 10 years; BS counterpart sector: Unspecified counterpart sector; Currency of transaction: Euro; IR business coverage: New business; Interest rate type (fix/var): Unspecified",,,,,,,
,"IRS.M.DE.L.L40.CI.0000.EUR.N.Z","IRS.M.ES.L.L40.CI.0000.EUR.N.Z","IRS.M.FR.L.L40.CI.0000.EUR.N.Z","IRS.M.GR.L.L40.CI.0000.EUR.N.Z","IRS.M.IE.L.L40.CI.0000.EUR.N.Z","IRS.M.IT.L.L40.CI.0000.EUR.N.Z","IRS.M.PT.L.L40.CI.0000.EUR.N.Z"
,"Germany","Spain","France","Greece (GR)","Ireland","Italy","Portugal"
"Collection:","Average of observations through period (A)","Average of observations through period (A)","Average of observations through period (A)","Average of observations through period (A)","Average of observations through period (A)","Average of observations through period (A)","Average of observations through period (A)"
"Period\Unit:","[Percent ]","[Percent ]","[Percent ]","[Percent ]","[Percent ]","[Percent ]","[Percent ]"
"2011Oct",2,5.26,2.99,18.04,8.1,5.97,11.72
"2011Sep",1.83,5.2,2.64,17.78,8.51,5.75,11.34
"2011Aug",2.21,5.25,2.98,15.9,9.57,5.27,10.93
"2011Jul",2.74,5.83,3.4,16.15,12.45,5.46,12.15
"2011Jun",2.89,5.48,3.43,16.69,11.43,4.82,10.87
"2011May",3.06,5.32,3.49,15.94,10.64,4.76,9.63
"2011Apr",3.34,5.33,3.69,13.86,9.79,4.84,9.19
"2011Mar",3.21,5.25,3.61,12.44,9.67,4.88,7.8
"2011Feb",3.2,5.26,3.6,11.4,9.1,4.74,7.34
"2011Jan",3.02,5.38,3.44,11.73,8.75,4.73,6.95
"2010Dec",2.91,5.38,3.34,12.01,8.45,4.6,6.53
"2010Nov",2.53,4.69,3,11.52,8.22,4.18,6.91
"2010Oct",2.35,4.04,2.72,9.57,6.42,3.8,6.05
"2010Sep",2.3,4.09,2.68,11.34,6.14,3.86,6.08
"2010Aug",2.35,4.04,2.68,10.7,5.3,3.8,5.31
