"TIME"	"GEO"	"INDIC_NA"	"SECTOR"	"UNIT"	"Value"
"2006Q1"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"95.1"
"2006Q2"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"92.2"
"2006Q3"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"91.8"
"2006Q4"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"88.0"
"2007Q1"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"90.0"
"2007Q2"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"88.7"
"2007Q3"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"89.7"
"2007Q4"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"84.1"
"2008Q1"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"87.5"
"2008Q2"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"86.4"
"2008Q3"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"87.1"
"2008Q4"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"89.3"
"2009Q1"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"95.1"
"2009Q2"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"96.4"
"2009Q3"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"98.0"
"2009Q4"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"95.9"
"2010Q1"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"100.0"
"2010Q2"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"100.1"
"2010Q3"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"98.8"
"2010Q4"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"96.2"
"2011Q1"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"99.5"
"2011Q2"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"98.4"
"2011Q3"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	94.561
"2011Q4"	"Belgium"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	94.561
"2006Q1"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"68.8"
"2006Q2"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"68.8"
"2006Q3"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"68.9"
"2006Q4"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"68.1"
"2007Q1"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"67.3"
"2007Q2"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"67.3"
"2007Q3"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"65.6"
"2007Q4"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"65.2"
"2008Q1"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"65.4"
"2008Q2"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"66.3"
"2008Q3"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"65.7"
"2008Q4"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"66.7"
"2009Q1"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"68.9"
"2009Q2"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"72.8"
"2009Q3"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"73.9"
"2009Q4"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"74.4"
"2010Q1"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"74.6"
"2010Q2"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"75.5"
"2010Q3"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"75.7"
"2010Q4"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"83.2"
"2011Q1"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"81.6"
"2011Q2"	"Germany (including  former GDR from 1991)"	"Government consolidated gross debt"	"General government"	"Percentage of GDP"	"81.1"
