"Dataset name: Government Statistics; Frequency: Quarterly; Adjustment indicator: Neither seasonally nor working day adjusted; Creditor user assets sector: General government (ESA95)-EUR; ESA item - GST context: Deficit or surplus; Debtor resource liabil sector: All sectors/ unspecified/ not applicable (ESA95) - EUR; Valuation - GST context: Non-financial flows current prices; Series variation - GST context: Percentage points, series(t)/GDP(t)"
,GST.Q.AT.N.D1300.DEF.D0000.CU.G,GST.Q.BE.N.D1300.DEF.D0000.CU.G,GST.Q.DE.N.D1300.DEF.D0000.CU.G,GST.Q.ES.N.D1300.DEF.D0000.CU.G,GST.Q.FI.N.D1300.DEF.D0000.CU.G,GST.Q.FR.N.D1300.DEF.D0000.CU.G,GST.Q.GR.N.D1300.DEF.D0000.CU.G,GST.Q.IE.N.D1300.DEF.D0000.CU.G,GST.Q.IT.N.D1300.DEF.D0000.CU.G,GST.Q.LU.N.D1300.DEF.D0000.CU.G,GST.Q.NL.N.D1300.DEF.D0000.CU.G,GST.Q.PT.N.D1300.DEF.D0000.CU.G
,Austria,Belgium,Germany,Spain,Finland,France,Greece (GR),Ireland,Italy,Luxembourg,Netherlands,Portugal
Collection:,Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ]
2011Q2,-1.186952,1.441763,,-9.845044,5.188560,,,,-3.184720,4.108755,-8.494777,-8.887843
2011Q1,-6.982675,-8.866036,,-5.280668,-1.526179,,-9.198463,-13.037868,-7.744337,-3.079205,-2.076538,-7.683400
2010Q4,-2.512877,0.333181,-1.924670,-13.212813,-6.774713,-3.150202,-9.756696,-35.525186,-3.788887,0.551619,-1.248867,-11.366325
2010Q3,-4.262984,-8.008452,-8.882454,-7.842022,-4.479096,-7.199666,-8.106815,-36.253278,-3.356503,-2.860389,-7.900850,-7.081193
2010Q2,-1.555982,0.811370,-1.133406,-9.753373,2.388248,-6.218532,-9.384155,-14.907528,-2.492726,2.491998,-7.672056,-11.013706
2010Q1,-10.572006,-10.597199,-5.106090,-5.766532,-2.170158,-11.960051,-15.672621,-39.019102,-8.532237,-4.788752,-3.391379,-9.642988
2009Q4,-0.289954,-0.632759,-4.519112,-15.839633,-9.344905,-2.553256,-14.102978,-7.667923,-4.113051,-2.909208,-4.417977,-13.261353
2009Q3,-4.702372,-8.631605,-4.958854,-9.683220,-4.501250,-9.687388,-14.068636,-15.921796,-4.224122,-0.935908,-9.048057,-8.074071
2009Q2,-4.660350,-1.130418,-1.384706,-13.619120,3.941671,-6.576053,-17.650408,-18.787704,-3.591816,2.132968,-5.693980,-8.417740
2009Q1,-7.289422,-13.654335,-1.771053,-4.883466,-0.565614,-11.698601,-16.506186,-14.120379,-9.473057,-1.787389,-3.226303,-10.806808
