Country Name,Country Code,Indicator_Name,Indicator_Code,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4
Austria,AUT,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,5.5573E+11,5.94986E+11,6.03176E+11,6.46036E+11,7.04282E+11,7.55162E+11,7.95511E+11,8.014E+11,8.95895E+11,9.301E+11,8.64453E+11,8.32753E+11,7.88415E+11,8.34045E+11,8.69225E+11,8.31601E+11,8.04625E+11,7.54925E+11,8.28809E+11,7.9779E+11,8.67606E+11,8.83529E+11,,
Belgium,BEL,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,1.0108E+12,1.05425E+12,1.05006E+12,1.15569E+12,1.2296E+12,1.31507E+12,1.39695E+12,1.53506E+12,1.77599E+12,1.84847E+12,1.80529E+12,1.61342E+12,1.46365E+12,1.47453E+12,1.48274E+12,1.48227E+12,1.37691E+12,1.3186E+12,1.39475E+12,1.36441E+12,1.37192E+12,1.39883E+12,,
Finland,FIN,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,2.32668E+11,2.55135E+11,2.46274E+11,2.6402E+11,2.77178E+11,2.77288E+11,2.87198E+11,3.16256E+11,3.56231E+11,3.82172E+11,3.58191E+11,3.4726E+11,3.60083E+11,3.79719E+11,3.84944E+11,4.06812E+11,3.86492E+11,3.75661E+11,4.1545E+11,4.41369E+11,5.07678E+11,5.18028E+11,,
France,FRA,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,3.28099E+12,3.49676E+12,3.67186E+12,3.81763E+12,4.11767E+12,4.40072E+12,4.55757E+12,4.84193E+12,5.31005E+12,5.40441E+12,5.05997E+12,4.87054E+12,4.66141E+12,4.94411E+12,5.19395E+12,5.16746E+12,5.07209E+12,4.67699E+12,5.23161E+12,5.09126E+12,5.36574E+12,5.63268E+12,,
Germany,DEU,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,3.76234E+12,3.92751E+12,4.0162E+12,4.21921E+12,4.39455E+12,4.55695E+12,4.9439E+12,5.11554E+12,5.74747E+12,5.68094E+12,5.37082E+12,5.14047E+12,4.88262E+12,5.16976E+12,5.29541E+12,5.11607E+12,4.95941E+12,4.74681E+12,5.33316E+12,5.21701E+12,5.42768E+12,5.62366E+12,,
Greece,GRC,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,2.83326E+11,3.01869E+11,3.14228E+11,3.29782E+11,3.55383E+11,3.71944E+11,4.1726E+11,4.542E+11,5.05034E+11,5.31649E+11,5.00164E+11,5.04612E+11,4.91294E+11,5.53003E+11,5.94598E+11,5.87562E+11,5.56707E+11,5.28759E+11,5.85696E+11,5.46607E+11,5.81799E+11,5.83326E+11,,
Ireland,IRL,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,1.39609E+12,1.51203E+12,1.5835E+12,1.76313E+12,1.86378E+12,1.98557E+12,2.16312E+12,2.26739E+12,2.55618E+12,2.60875E+12,2.44269E+12,2.35564E+12,2.30013E+12,2.43393E+12,2.4501E+12,2.38473E+12,2.25576E+12,2.27575E+12,2.48377E+12,2.30342E+12,2.38219E+12,2.35723E+12,,
Italy,ITA,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,1.82356E+12,1.96782E+12,1.99253E+12,2.10804E+12,2.19614E+12,2.35912E+12,2.45449E+12,2.5493E+12,2.77545E+12,2.85322E+12,2.6116E+12,2.39532E+12,2.37058E+12,2.54318E+12,2.66951E+12,2.55115E+12,2.45681E+12,2.2164E+12,2.5188E+12,2.43522E+12,2.61345E+12,2.68448E+12,,
Luxembourg,LUX,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,1.35738E+12,1.43959E+12,1.49891E+12,1.63349E+12,1.69388E+12,1.76613E+12,1.90204E+12,2.02668E+12,2.22492E+12,2.21778E+12,2.14056E+12,2.17093E+12,2.04852E+12,2.14028E+12,2.1969E+12,2.20169E+12,2.00436E+12,1.88797E+12,1.94616E+12,1.91594E+12,2.04394E+12,2.14613E+12,,
Netherlands,NLD,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,1.84866E+12,1.92198E+12,1.98768E+12,2.09765E+12,2.28923E+12,2.36333E+12,2.52257E+12,2.59975E+12,2.88255E+12,2.86221E+12,2.6769E+12,2.40677E+12,2.36431E+12,2.39248E+12,2.49334E+12,2.38815E+12,2.36105E+12,2.23911E+12,2.50625E+12,2.43388E+12,2.56171E+12,2.65545E+12,,
Portugal,PRT,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,3.35423E+11,3.59206E+11,3.56347E+11,3.81453E+11,3.99265E+11,4.25364E+11,4.58861E+11,4.83916E+11,5.31336E+11,5.47633E+11,5.04106E+11,4.8471E+11,4.73857E+11,5.12764E+11,5.43281E+11,5.49149E+11,5.38621E+11,4.9936E+11,5.47749E+11,5.28597E+11,5.5236E+11,5.48269E+11,,
Spain,ESP,069_T2_Gross.External.Debt.Position,DT.DOD.DECT.CD.FD,1.49912E+12,1.59992E+12,1.65609E+12,1.80465E+12,1.94777E+12,2.05795E+12,2.18652E+12,2.30197E+12,2.52474E+12,2.60334E+12,2.41756E+12,2.32695E+12,2.26213E+12,2.44317E+12,2.54536E+12,2.53942E+12,2.41875E+12,2.17826E+12,2.40387E+12,2.31669E+12,2.46453E+12,2.57029E+12,,
