"TIME"	"GEO"	"S_ADJ"	"UNIT"	"INDIC_NA"	"Value"
"2006Q1"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-4.7"
"2006Q2"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"4.0"
"2006Q3"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-3.4"
"2006Q4"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"7.6"
"2007Q1"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-4.7"
"2007Q2"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.8"
"2007Q3"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-3.4"
"2007Q4"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"7.5"
"2008Q1"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-4.8"
"2008Q2"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.4"
"2008Q3"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-4.1"
"2008Q4"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.5"
"2009Q1"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-7.5"
"2009Q2"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"4.3"
"2009Q3"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-2.8"
"2009Q4"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"7.5"
"2010Q1"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-6.5"
"2010Q2"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"5.2"
"2010Q3"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-3.6"
"2010Q4"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"7.6"
"2011Q1"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-5.7"
"2011Q2"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"4.5"
"2011Q3"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	2.42
"2011Q4"	"Belgium"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	2.42
"2006Q1"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.4"
"2006Q2"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"1.8"
"2006Q3"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.4"
"2006Q4"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.2"
"2007Q1"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.7"
"2007Q2"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"0.9"
"2007Q3"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.3"
"2007Q4"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.2"
"2008Q1"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.8"
"2008Q2"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"1.9"
"2008Q3"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"1.2"
"2008Q4"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-4.1"
"2009Q1"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-5.5"
"2009Q2"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"0.9"
"2009Q3"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.9"
"2009Q4"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.6"
"2010Q1"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.5"
"2010Q2"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"2.7"
"2010Q3"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.5"
"2010Q4"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.9"
"2011Q1"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.3"
"2011Q2"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"0.7"
"2011Q3"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"3.0"
"2011Q4"	"Germany (including  former GDR from 1991)"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"2.725"
"2006Q1"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"0.8"
"2006Q2"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"1.4"
"2006Q3"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.6"
"2006Q4"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"1.8"
"2007Q1"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"4.3"
"2007Q2"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.0"
"2007Q3"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.7"
"2007Q4"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"4.7"
"2008Q1"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-2.8"
"2008Q2"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.7"
"2008Q3"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.7"
"2008Q4"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-3.2"
"2009Q1"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-2.9"
"2009Q2"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.3"
"2009Q3"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-0.8"
"2009Q4"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"-1.5"
"2010Q1"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"1.6"
"2010Q2"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"0.0"
"2010Q3"	"Ireland"	"Not seasonally adjusted data"	"Percentage change on previous period"	"Gross domestic product at market prices"	"0.2"
