Dataset name: Indices of Consumer Prices; Frequency: Monthly; Adjustment indicator: Neither seasonally nor working day adjusted; Classification - ICP context: HICP - Overall index; Institution originating the data flow: Eurostat; Series variation - ICP context: Annual rate of change
,ICP.M.AT.N.000000.4.ANR,ICP.M.BE.N.000000.4.ANR,ICP.M.DE.N.000000.4.ANR,ICP.M.ES.N.000000.4.ANR,ICP.M.FI.N.000000.4.ANR,ICP.M.FR.N.000000.4.ANR,ICP.M.GR.N.000000.4.ANR,ICP.M.IE.N.000000.4.ANR,ICP.M.IT.N.000000.4.ANR,ICP.M.LU.N.000000.4.ANR,ICP.M.NL.N.000000.4.ANR,ICP.M.PT.N.000000.4.ANR
,Austria,Belgium,Germany,Spain,Finland,France,Greece (GR),Ireland,Italy,Luxembourg,Netherlands,Portugal
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ]
2011Oct,3.8,3.4,2.9,3.0,3.2,2.5,2.9,1.5,3.8,3.8,2.8,4.0
2011Sep,3.9,3.4,2.9,3.0,3.5,2.4,2.9,1.3,3.6,3.8,3.0,3.5
2011Aug,3.7,3.4,2.5,2.7,3.5,2.4,1.4,1.0,2.3,3.7,2.8,2.8
2011Jul,3.8,4.0,2.6,3.0,3.7,2.1,2.1,1.0,2.1,3.2,2.9,3.0
2011Jun,3.7,3.4,2.4,3.0,3.4,2.3,3.1,1.1,3.0,3.8,2.5,3.3
2011May,3.7,3.1,2.4,3.4,3.4,2.2,3.1,1.2,3.0,3.8,2.4,3.7
2011Apr,3.7,3.3,2.7,3.5,3.4,2.2,3.7,1.5,2.9,4.0,2.2,4.0
2011Mar,3.3,3.5,2.3,3.3,3.5,2.2,4.3,1.2,2.8,4.0,2.0,3.9
2011Feb,3.1,3.5,2.2,3.4,3.5,1.8,4.2,0.9,2.1,3.9,2.0,3.5
2011Jan,2.5,3.7,2.0,3.0,3.1,2.0,4.9,0.2,1.9,3.4,2.0,3.6
2010Dec,2.2,3.4,1.9,2.9,2.8,2.0,5.2,-0.2,2.1,3.1,1.8,2.4
2010Nov,1.8,3.0,1.6,2.3,2.4,1.8,4.8,-0.8,1.9,2.5,1.4,2.2
2010Oct,2.0,3.1,1.3,2.5,2.3,1.8,5.2,-0.8,2.0,2.9,1.4,2.3
2010Sep,1.7,2.9,1.3,2.8,1.4,1.8,5.7,-1.0,1.6,2.6,1.4,2.0
2010Aug,1.6,2.4,1.0,1.6,1.3,1.6,5.6,-1.2,1.8,2.5,1.2,2.0
2010Jul,1.7,2.4,1.2,1.8,1.3,1.9,5.5,-1.2,1.8,2.9,1.3,1.9
2010Jun,1.8,2.7,0.8,2.1,1.3,1.7,5.2,-2.0,1.5,2.3,0.2,1.1
2010May,1.7,2.5,1.2,2.5,1.4,1.9,5.3,-1.9,1.6,3.1,0.4,1.1
2010Apr,1.8,2.1,1.0,2.4,1.6,1.9,4.7,-2.5,1.6,3.1,0.6,0.7
2010Mar,1.8,1.9,1.2,2.7,1.5,1.7,3.9,-2.4,1.4,3.2,0.7,0.6
2010Feb,0.9,0.8,0.5,0.4,1.3,1.4,2.9,-2.4,1.1,2.3,0.3,0.2
2010Jan,1.2,0.8,0.8,0.7,1.6,1.2,2.3,-2.4,1.3,3.0,0.4,0.1
2009Dec,1.1,0.3,0.8,0.9,1.8,1.0,2.6,-2.6,1.1,2.5,0.7,-0.1
2009Nov,0.6,-0.0,0.3,0.4,1.3,0.5,2.1,-2.8,0.8,1.7,0.7,-0.8
2009Oct,0.1,-0.9,-0.1,-0.6,0.6,-0.2,1.2,-2.8,0.3,-0.2,0.4,-1.6
2009Sep,-0.0,-1.0,-0.5,-0.9,1.1,-0.4,0.7,-3.0,0.4,-0.4,-0.0,-1.8
2009Aug,0.2,-0.7,-0.1,-0.7,1.3,-0.2,1.0,-2.4,0.1,-0.2,-0.1,-1.2
2009Jul,-0.4,-1.7,-0.7,-1.3,1.2,-0.8,0.7,-2.6,-0.1,-1.5,-0.1,-1.4
2009Jun,-0.3,-1.0,0.0,-1.0,1.6,-0.6,0.7,-2.2,0.6,-1.0,1.4,-1.6
2009May,0.1,-0.2,0.0,-0.9,1.5,-0.3,0.7,-1.7,0.8,-0.9,1.5,-1.2
2009Apr,0.5,0.7,0.8,-0.2,2.1,0.1,1.1,-0.7,1.2,-0.3,1.8,-0.6
2009Mar,0.6,0.6,0.4,-0.1,2.0,0.4,1.5,-0.7,1.1,-0.3,1.8,-0.6
2009Feb,1.4,1.9,1.0,0.7,2.7,1.0,1.8,0.1,1.5,0.7,1.9,0.1
2009Jan,1.2,2.1,0.9,0.8,2.5,0.8,2.0,1.1,1.4,0.0,1.7,0.1
2008Dec,1.5,2.7,1.1,1.5,3.4,1.2,2.2,1.3,2.4,0.7,1.7,0.8
2008Nov,2.3,3.2,1.4,2.4,3.5,1.9,3.0,2.1,2.7,2.0,1.9,1.4
2008Oct,3.0,4.8,2.5,3.6,4.4,3.0,4.0,2.7,3.6,3.9,2.5,2.5
2008Sep,3.7,5.5,3.0,4.6,4.7,3.4,4.7,3.2,3.9,4.8,2.8,3.2
2008Aug,3.6,5.4,3.3,4.9,4.6,3.5,4.8,3.2,4.2,4.8,3.0,3.1
2008Jul,3.8,5.9,3.5,5.3,4.3,4.0,4.9,3.6,4.0,5.8,3.0,3.1
2008Jun,4.0,5.8,3.4,5.1,4.3,4.0,4.9,3.9,4.0,5.3,2.3,3.4
2008May,3.7,5.1,3.1,4.7,4.1,3.7,4.9,3.7,3.7,4.8,2.1,2.8
2008Apr,3.4,4.1,2.6,4.2,3.3,3.4,4.4,3.3,3.6,4.3,1.7,2.5
2008Mar,3.5,4.4,3.3,4.6,3.6,3.5,4.4,3.7,3.6,4.4,1.9,3.1
2008Feb,3.1,3.6,3.0,4.4,3.3,3.2,4.5,3.5,3.1,4.2,2.0,2.9
2008Jan,3.1,3.5,2.9,4.4,3.5,3.2,3.9,3.1,3.1,4.2,1.8,2.9
2007Dec,3.5,3.1,3.1,4.3,1.9,2.8,3.9,3.2,2.8,4.3,1.6,2.7
2007Nov,3.2,2.9,3.3,4.1,2.2,2.6,3.9,3.5,2.6,4.0,1.8,2.8
2007Oct,2.9,2.2,2.7,3.6,1.8,2.1,3.0,3.0,2.3,3.6,1.6,2.5
2007Sep,2.1,1.4,2.7,2.7,1.7,1.6,2.9,2.9,1.7,2.5,1.3,2.0
2007Aug,1.7,1.2,2.0,2.2,1.3,1.3,2.7,2.3,1.7,1.9,1.1,1.9
2007Jul,2.0,1.3,2.0,2.3,1.6,1.2,2.7,2.7,1.7,2.0,1.4,2.3
2007Jun,1.9,1.3,2.0,2.5,1.4,1.3,2.6,2.8,1.9,2.3,1.8,2.4
2007May,1.9,1.3,2.0,2.4,1.3,1.2,2.6,2.7,1.9,2.3,2.0,2.4
2007Apr,1.8,1.8,2.0,2.5,1.5,1.3,2.6,2.9,1.8,2.5,1.9,2.8
2007Mar,1.9,1.8,2.0,2.5,1.6,1.2,2.8,2.9,2.1,2.4,1.9,2.4
2007Feb,1.7,1.8,1.9,2.5,1.2,1.2,3.0,2.6,2.1,1.8,1.4,2.3
2007Jan,1.7,1.7,1.8,2.4,1.3,1.4,3.0,2.9,1.9,2.3,1.2,2.6
2006Dec,1.6,2.1,1.4,2.7,1.2,1.7,3.2,3.0,2.1,2.3,1.7,2.5
2006Nov,1.6,2.0,1.5,2.7,1.3,1.6,3.2,2.4,2.0,1.8,1.6,2.4
2006Oct,1.3,1.7,1.1,2.6,0.9,1.2,3.1,2.2,1.9,0.6,1.3,2.6
2006Sep,1.3,1.9,1.0,2.9,0.8,1.5,3.1,2.2,2.4,2.0,1.5,3.0
2006Aug,2.1,2.3,1.8,3.8,1.3,2.1,3.4,3.2,2.3,3.1,1.9,2.7
2006Jul,2.0,2.4,2.1,4.0,1.4,2.2,3.9,2.9,2.3,3.4,1.7,3.0
2006Jun,1.9,2.5,2.0,4.0,1.5,2.2,3.4,2.9,2.4,3.9,1.8,3.5
2006May,2.1,2.8,2.1,4.1,1.7,2.4,3.3,3.0,2.3,3.6,1.8,3.7
2006Apr,2.1,2.6,2.3,3.9,1.5,2.0,3.5,2.7,2.3,3.5,1.8,3.7
2006Mar,1.3,2.2,1.9,3.9,1.2,1.7,3.3,2.8,2.2,3.7,1.4,3.8
2006Feb,1.5,2.8,2.1,4.1,1.3,2.0,3.1,2.7,2.2,3.9,1.4,3.0
2006Jan,1.5,2.8,2.1,4.2,1.2,2.3,3.0,2.5,2.2,4.1,1.8,2.7
2005Dec,1.6,2.8,2.1,3.7,1.1,1.8,3.5,1.9,2.1,3.4,2.0,2.5
2005Nov,1.7,2.3,2.2,3.4,1.0,1.8,3.4,2.2,2.4,3.6,1.6,2.5
2005Oct,2.0,2.2,2.3,3.5,0.8,2.0,3.7,2.6,2.6,5.0,1.5,2.6
2005Sep,2.6,3.0,2.5,3.8,1.1,2.4,3.8,2.7,2.2,4.7,1.7,2.7
2005Aug,1.9,2.9,1.9,3.3,1.0,2.0,3.6,2.1,2.1,4.3,1.6,2.5
2005Jul,2.1,2.7,1.8,3.3,0.9,1.8,3.9,2.2,2.1,4.0,1.5,1.9
2005Jun,2.0,2.7,1.8,3.2,1.0,1.8,3.2,1.9,2.1,3.2,1.5,0.6
2005May,2.0,2.3,1.6,3.0,0.6,1.7,3.2,2.1,2.3,3.7,1.0,1.8
2005Apr,2.3,2.4,1.4,3.5,1.2,2.0,3.3,2.2,2.1,3.7,1.3,2.0
2005Mar,2.4,2.8,1.6,3.4,0.9,2.1,2.9,1.9,2.2,3.5,1.5,2.3
2005Feb,2.3,2.3,1.9,3.3,0.0,1.9,3.2,2.1,2.0,3.2,1.5,2.1
2005Jan,2.4,2.0,1.6,3.1,-0.2,1.6,4.2,2.1,2.0,2.9,1.2,2.0
2004Dec,2.5,1.9,2.3,3.3,0.1,2.3,3.1,2.4,2.4,3.5,1.2,2.6
2004Nov,2.3,2.3,2.0,3.5,0.2,2.2,3.2,2.7,2.1,4.0,1.5,2.6
2004Oct,2.4,2.7,2.3,3.6,0.6,2.3,3.3,2.5,2.1,4.1,1.5,2.4
2004Sep,1.8,1.8,2.0,3.2,0.2,2.2,2.9,2.4,2.2,3.1,1.2,2.1
2004Aug,2.2,2.0,2.1,3.3,0.3,2.5,2.8,2.5,2.4,3.6,1.2,2.4
2004Jul,2.1,2.1,2.1,3.3,0.2,2.6,3.1,2.5,2.3,3.8,1.2,2.9
2004Jun,2.3,2.0,2.0,3.5,-0.1,2.7,3.0,2.5,2.4,3.8,1.5,3.7
2004May,2.1,2.4,2.1,3.4,-0.1,2.8,3.1,2.1,2.3,3.4,1.7,2.5
2004Apr,1.5,1.7,1.7,2.7,-0.4,2.4,3.1,1.7,2.3,2.7,1.5,2.4
2004Mar,1.5,1.0,1.1,2.2,-0.4,1.9,2.9,1.9,2.3,2.0,1.2,2.2
2004Feb,1.5,1.2,0.8,2.2,0.4,1.9,2.6,2.2,2.5,2.5,1.3,2.1
2004Jan,1.2,1.4,1.1,2.3,0.8,2.2,3.1,2.2,2.1,2.3,1.5,2.2
2003Dec,1.3,1.7,1.0,2.7,1.2,2.4,3.1,3.0,2.5,2.4,1.6,2.3
2003Nov,1.3,1.8,1.4,2.9,1.2,2.5,3.2,3.3,2.8,2.0,2.0,2.3
2003Oct,1.1,1.4,1.0,2.7,0.9,2.3,3.2,3.3,2.8,1.8,1.9,2.8
2003Sep,1.4,1.7,1.0,3.0,1.2,2.3,3.3,3.8,2.9,2.6,2.0,3.2
2003Aug,1.0,1.6,1.2,3.1,1.2,2.0,3.3,3.9,2.7,2.3,2.2,2.9
2003Jul,1.0,1.4,0.8,2.9,1.0,1.9,3.5,3.8,2.9,1.9,2.1,2.9
2003Jun,1.0,1.5,0.8,2.8,1.2,1.9,3.6,3.8,2.9,2.0,2.1,3.4
2003May,0.9,0.9,0.7,2.7,1.1,1.7,3.5,3.8,2.9,2.3,2.3,3.7
2003Apr,1.3,1.5,0.9,3.2,1.3,1.9,3.3,4.7,3.0,3.0,2.2,3.8
2003Mar,1.9,1.7,1.3,3.7,1.9,2.6,3.9,4.8,2.9,3.7,2.8,3.8
2003Feb,1.8,1.6,1.2,3.9,2.1,2.5,4.2,5.1,2.6,3.2,2.9,4.1
2003Jan,1.7,1.2,0.9,3.8,1.4,1.9,3.3,4.7,2.8,3.3,2.7,4.0
2002Dec,1.7,1.3,1.2,4.0,1.7,2.2,3.5,4.6,2.9,2.8,3.2,4.0
2002Nov,1.7,1.1,1.2,3.9,1.7,2.1,3.9,4.6,2.8,2.7,3.2,4.1
2002Oct,1.7,1.3,1.4,4.0,1.7,1.9,3.9,4.5,2.8,2.5,3.5,4.1
2002Sep,1.6,1.2,1.1,3.5,1.4,1.8,3.8,4.5,2.9,2.2,3.6,3.8
2002Aug,2.1,1.3,1.1,3.7,1.8,1.8,3.8,4.5,2.6,2.0,3.7,3.9
2002Jul,1.5,1.1,1.1,3.5,2.0,1.6,3.6,4.3,2.4,1.9,3.8,3.6
2002Jun,1.5,0.8,0.8,3.4,1.5,1.5,3.6,4.4,2.2,1.3,3.8,3.5
2002May,1.7,1.4,1.1,3.7,1.8,1.5,3.8,5.0,2.4,1.3,3.8,3.4
2002Apr,1.7,1.6,1.6,3.7,2.6,2.1,4.1,5.0,2.5,1.9,4.2,3.5
2002Mar,1.7,2.5,1.9,3.2,2.6,2.2,4.4,5.1,2.6,1.7,4.3,3.3
2002Feb,1.7,2.5,1.8,3.2,2.5,2.3,3.8,4.9,2.7,2.2,4.5,3.3
2002Jan,2.0,2.6,2.2,3.1,2.9,2.5,4.8,5.3,2.3,2.1,4.9,3.7
2001Dec,1.8,2.0,1.4,2.5,2.3,1.4,3.5,4.3,2.2,0.9,5.1,3.9
2001Nov,1.9,1.8,1.3,2.5,2.1,1.3,2.9,3.5,2.2,1.4,4.8,4.1
2001Oct,2.3,1.9,1.6,2.5,2.4,1.8,3.2,3.7,2.4,1.7,5.0,4.2
2001Sep,2.4,1.9,1.8,2.3,2.6,1.6,4.0,3.9,2.1,1.9,5.3,4.1
2001Aug,2.4,2.5,2.3,2.1,2.7,2.0,4.0,3.8,2.0,2.5,5.2,4.0
2001Jul,2.8,2.8,2.2,2.4,2.6,2.2,4.2,4.0,2.4,2.4,5.3,4.3
2001Jun,2.6,3.0,2.5,3.7,3.0,2.2,4.5,4.4,2.9,2.7,5.1,4.6
2001May,2.9,3.1,2.8,3.8,3.3,2.5,3.9,4.2,2.8,3.8,5.5,4.9
2001Apr,2.6,2.9,2.2,3.6,2.8,2.0,3.7,4.2,2.8,2.7,5.5,4.6
2001Mar,1.9,2.2,1.7,3.0,2.5,1.4,3.2,4.1,2.0,3.0,5.0,5.1
2001Feb,1.8,2.5,1.7,2.7,2.7,1.4,3.5,4.0,1.5,2.9,5.0,4.9
2001Jan,2.2,2.7,1.3,2.9,2.9,1.4,3.2,3.9,2.4,2.9,4.6,4.4
