Dataset name: Interest rate statistics (2004 EU Member States & ACCBs); Frequency: Monthly; Interest rate type: Long-term interest rate for convergence purposes; Transaction type: Debt security issued; Maturity category: 10 years; BS counterpart sector: Unspecified counterpart sector; Currency of transaction: Euro; IR business coverage: New business; Interest rate type (fix/var): Unspecified
,IRS.M.AT.L.L40.CI.0000.EUR.N.Z,IRS.M.BE.L.L40.CI.0000.EUR.N.Z,IRS.M.CY.L.L40.CI.0000.EUR.N.Z,IRS.M.DE.L.L40.CI.0000.EUR.N.Z,IRS.M.ES.L.L40.CI.0000.EUR.N.Z,IRS.M.FI.L.L40.CI.0000.EUR.N.Z,IRS.M.FR.L.L40.CI.0000.EUR.N.Z,IRS.M.GR.L.L40.CI.0000.EUR.N.Z,IRS.M.IE.L.L40.CI.0000.EUR.N.Z,IRS.M.IT.L.L40.CI.0000.EUR.N.Z,IRS.M.LU.L.L40.CI.0000.EUR.N.Z,IRS.M.MT.L.L40.CI.0000.EUR.N.Z,IRS.M.NL.L.L40.CI.0000.EUR.N.Z,IRS.M.PT.L.L40.CI.0000.EUR.N.Z,IRS.M.SI.L.L40.CI.0000.EUR.N.Z,IRS.M.SK.L.L40.CI.0000.EUR.N.Z
,Austria,Belgium,Cyprus,Germany,Spain,Finland,France,Greece (GR),Ireland,Italy,Luxembourg,Malta,Netherlands,Portugal,Slovenia,Slovakia
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ]
2011Oct,2.92,4.20,7.00,2.00,5.26,2.51,2.99,18.04,8.10,5.97,2.37,4.26,2.46,11.72,5.16,4.33
2011Sep,2.64,3.88,7.00,1.83,5.20,2.35,2.64,17.78,8.51,5.75,2.27,4.14,2.34,11.34,4.86,4.25
2011Aug,2.84,4.11,6.42,2.21,5.25,2.68,2.98,15.90,9.57,5.27,2.59,4.32,2.68,10.93,4.99,4.55
2011Jul,3.35,4.22,6.25,2.74,5.83,3.16,3.40,16.15,12.45,5.46,3.03,4.59,3.17,12.15,4.89,4.55
2011Jun,3.43,4.14,5.78,2.89,5.48,3.29,3.43,16.69,11.43,4.82,3.15,4.63,3.28,10.87,4.58,4.39
2011May,3.53,4.21,4.60,3.06,5.32,3.32,3.49,15.94,10.64,4.76,3.29,4.63,3.40,9.63,4.43,4.33
2011Apr,3.76,4.29,4.60,3.34,5.33,3.57,3.69,13.86,9.79,4.84,3.58,4.73,3.65,9.19,4.53,4.33
